iddetaljno,imebrojaca,vrednostbrojaca,datumvreme
1,I-1,1,2024-04-03 08:45:17.359721
2,I-1,1,2024-04-03 08:55:48.246644
3,I-1,1,2024-04-03 09:45:49.006968
4,I-3,1,2024-04-03 09:47:07.218482
5,I-2,1,2024-04-03 11:44:21.681336
6,I-2,1,2024-04-03 12:44:22.905493
7,I-2,-1,2024-04-03 13:00:25.790276
8,I-2,1,2024-04-03 13:05:26.784892
9,zaposlenih,1,2024-04-03 08:44:28.748601
10,zaposlenih,1,2024-04-03 12:44:32.735860
11,posetilaca,1,2024-04-03 08:55:34.513791
12,I-1,1,2024-04-03 10:58:04.674871
13,I-1,1,2024-04-03 11:58:05.239690
14,I-1,1,2024-04-03 12:58:06.305347
15,I-1,-1,2024-04-03 13:58:08.708981
16,I-1,-1,2024-04-03 14:58:09.234503
17,I-1,-1,2024-04-03 15:10:09.835171
18,zaposlenih,1,2024-04-03 13:13:06.022674
19,zaposlenih,1,2024-04-03 13:13:07.619275
20,zaposlenih,1,2024-04-03 13:13:09.702035
21,zaposlenih,1,2024-04-03 13:13:10.818833
22,zaposlenih,1,2024-04-03 13:13:12.049177
23,zaposlenih,1,2024-04-03 13:13:13.135800
24,zaposlenih,1,2024-04-03 13:13:14.450013
25,zaposlenih,1,2024-04-03 13:13:15.663806
26,zaposlenih,1,2024-04-03 13:13:16.783793
27,zaposlenih,1,2024-04-03 13:13:17.601151
28,I-1,1,2024-04-03 15:13:19.464267
29,I-1,1,2024-04-03 15:23:20.555009
30,I-1,1,2024-04-03 15:33:21.640873
31,I-1,1,2024-04-03 15:43:22.750051
32,I-1,1,2024-04-03 15:53:23.781721
33,I-1,1,2024-04-03 15:56:24.788456
34,I-1,1,2024-04-03 15:58:25.804405
35,I-1,1,2024-04-03 16:13:26.846274
36,I-1,1,2024-04-03 16:15:27.975003
37,I-1,1,2024-04-03 16:20:29.100367
38,zaposlenih,-1,2024-04-03 13:13:33.797705
39,zaposlenih,-1,2024-04-03 13:13:34.495332
40,zaposlenih,-1,2024-04-03 13:13:35.067084
41,zaposlenih,-1,2024-04-03 13:13:35.554570
42,zaposlenih,-1,2024-04-03 13:13:36.026087
43,II-1,-1,2024-04-03 13:13:38.718243
44,II-1,-1,2024-04-03 13:13:40.115002
45,II-1,-1,2024-04-03 13:13:41.329812
46,II-1,-1,2024-04-03 13:13:42.356030
47,II-1,-1,2024-04-03 13:13:43.451995
52,I-2,1,2024-04-03 13:14:23.317466
53,I-2,1,2024-04-03 13:16:24.473274
54,I-2,1,2024-04-03 13:17:25.513679
55,I-2,1,2024-04-03 13:19:26.325394
56,I-2,1,2024-04-03 13:22:27.089768
57,I-2,-1,2024-04-03 13:26:29.389774
58,I-2,-1,2024-04-03 13:28:30.541095
59,I-2,-1,2024-04-03 13:29:31.509453
60,I-2,-1,2024-04-03 13:30:32.436459
61,I-2,-1,2024-04-03 13:31:34.719958
62,I-1,1,2024-04-03 23:14:59.922576
63,I-2,1,2024-04-03 13:40:05.138317
64,I-2,-1,2024-04-03 13:15:07.557481
65,posetilaca,1,2024-04-03 13:26:02.426949
66,posetilaca,-1,2024-04-03 13:26:04.070615
67,I-2,1,2024-04-17 13:41:42.929687
68,I-2,1,2024-04-17 13:43:51.293945
69,I-2,1,2024-04-17 13:45:52.757812
70,I-1,1,2024-04-18 09:16:55.968750
71,I-1,1,2024-04-18 09:16:57.253906
72,I-1,1,2024-04-18 09:16:59.026367
73,I-3,1,2024-04-18 09:16:59.985351
74,I-3,1,2024-04-18 09:17:01.754882
75,II-1,1,2024-04-18 09:17:18.393554
76,II-3,1,2024-04-18 09:17:21.742187
77,II-3,1,2024-04-18 09:17:22.941406
